rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
17,arxiv:2411.19650v1,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024,arXiv,http://arxiv.org/abs/2411.19650v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.20944/preprints202601.0682.v1,PI-VLA: A Symmetry-Aware Predictive and Interactive Vision--Language--Action Framework for Robust Robotic Manipulation,,,https://doi.org/10.20944/preprints202601.0682.v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.32920/32253735.v1,Development and Evaluation of a Vision-Language Guided Robotic Manipulation Pipeline,,,https://doi.org/10.32920/32253735.v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
20,doi:10.32920/32253735,Development and Evaluation of a Vision-Language Guided Robotic Manipulation Pipeline,,,https://doi.org/10.32920/32253735,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
21,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.3390/s26113541,Sensing the Action: Rethinking Sensor Modalities and Multi-Modal Fusion in Vision–Language–Action Models for Robotic Manipulation,2026,Sensors,https://doi.org/10.3390/s26113541,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.3390/s26103140,Uncertainty-Calibrated Safety Gating for Vision–Language– Action Manipulation Under Domain Shift: Reliability Gains and Intervention–Efficiency Trade-Offs,2026,Sensors,https://doi.org/10.3390/s26103140,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.3390/electronics15112451,Benchmarking Large Language Model Inference on Limited-Resource Edge Systems,2026,Electronics,https://doi.org/10.3390/electronics15112451,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.3389/frobt.2022.1067502,Sim-to-real via latent prediction: Transferring visual non-prehensile manipulation policies,2023,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2022.1067502,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1111/2041-210x.13901,Deep learning as a tool for ecology and evolution,2022,Methods in Ecology and Evolution,https://doi.org/10.1111/2041-210x.13901,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1109/tcds.2020.2986411,Intrinsic Motivations and Planning to Explain Tool-Use Development: A Study With a Simulated Robot Model,2022,IEEE Transactions on Cognitive and Developmental Systems,https://doi.org/10.1109/tcds.2020.2986411,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.18196/jrc.v3i3.14714,NFT Hydroponic Control Using Mamdani Fuzzy Inference System,2022,Journal of Robotics and Control (JRC),https://doi.org/10.18196/jrc.v3i3.14714,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
29,arxiv:2601.07821v1,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,arXiv,http://arxiv.org/abs/2601.07821v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
30,title:progressvla progress guided diffusion policy for vision language robotic manipulation,ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,2026,arXiv (Cornell University),https://openalex.org/W7148177967,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.20944/preprints202606.0425.v1,The Evaluation Bottleneck of Vision-Language-Action Models: A Evaluation-Centric Survey,,,https://doi.org/10.20944/preprints202606.0425.v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.18461/ijfsd.v4i3.433,"A Latent Class Model to discover Household Food Waste Patterns in Lisbon City in Support of Food Security, Public Health and Environmental Protection",2013,International Journal on Food System Dynamics,https://doi.org/10.18461/ijfsd.v4i3.433,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.1109/iros60139.2025.11245978,GeT-USE: Learning Generalized Tool Usage for Bimanual Mobile Manipulation via Simulated Embodiment Extensions,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros60139.2025.11245978,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
34,doi:10.3390/s25216741,DPDQN-TER: An Improved Deep Reinforcement Learning Approach for Mobile Robot Path Planning in Dynamic Scenarios,2025,Sensors,https://doi.org/10.3390/s25216741,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
35,doi:10.24963/ijcai.2019/869,Differentiable Physics and Stable Modes for Tool-Use and Manipulation Planning - Extended Abtract,2019,Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence,https://doi.org/10.24963/ijcai.2019/869,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
36,doi:10.1002/hbm.21149,Dissociation between manipulation and conceptual knowledge of object use in the supramarginalis gyrus,2011,Human Brain Mapping,https://doi.org/10.1002/hbm.21149,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
37,doi:10.3389/frobt.2016.00058,"Mobile Manipulation, Tool Use, and Intuitive Interaction for Cognitive Service Robot Cosero",2016,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2016.00058,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
38,arxiv:2511.22904v1,Language-conditioned world model improves policy generalization by reading environmental descriptions,2025,arXiv,http://arxiv.org/abs/2511.22904v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
39,arxiv:2605.21258v1,Learning Structural Latent Points for Efficient Visual Representations in Robotic Manipulation,2026,arXiv,http://arxiv.org/abs/2605.21258v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
40,arxiv:2512.11769v1,BLURR: A Boosted Low-Resource Inference for Vision-Language-Action Models,2025,arXiv,http://arxiv.org/abs/2512.11769v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
41,doi:10.1016/j.eehl.2024.01.006,"A new ChatGPT-empowered, easy-to-use machine learning paradigm for environmental science",2024,Eco-Environment & Health,https://doi.org/10.1016/j.eehl.2024.01.006,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
42,doi:10.3390/agriculture15141523,AgriFusionNet: A Lightweight Deep Learning Model for Multisource Plant Disease Diagnosis,2025,Agriculture,https://doi.org/10.3390/agriculture15141523,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
43,doi:10.1007/978-3-319-31800-4_6,Manipulation of Insect Reproductive Systems as a Tool in Pest Control,2016,Advances in Insect Control and Resistance Management,https://doi.org/10.1007/978-3-319-31800-4_6,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
44,doi:10.1609/aaai.v40i22.38902,DiTEA: Mixture-of-Experts for Vision-Language-Action Model in Robotic Manipulation,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i22.38902,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
45,arxiv:2606.12956v1,SERF: Spatiotemporal Environment and Robot Feature Map for Long-Horizon Mobile Manipulation,2026,arXiv,http://arxiv.org/abs/2606.12956v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
46,doi:10.1080/10407413.2014.874908,Building Tool Use From Object Manipulation: A Perception–Action Perspective,2014,Ecological Psychology,https://doi.org/10.1080/10407413.2014.874908,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
47,doi:10.1002/asjc.1092,TP Model Transformation as a Manipulation Tool for QLPV Analysis and Design,2015,Asian Journal of Control,https://doi.org/10.1002/asjc.1092,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
48,arxiv:2511.09516v1,MAP-VLA: Memory-Augmented Prompting for Vision-Language-Action Model in Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2511.09516v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
